[INFO ] [2021-07-09 13:20:33,074] Pre-condition - Step 1: Open Browser: firefoxand navigate tohttps://demo.nopcommerce.com/
[INFO ] [2021-07-09 13:20:43,940] User_01_Register - Step 01: Mo trang Homepage
[INFO ] [2021-07-09 13:20:43,945] User_01_Register - Step 02: Click to Register Link
[INFO ] [2021-07-09 13:20:46,234] User_01_Register - Step 03: Enter to first Textbox
[INFO ] [2021-07-09 13:20:46,347] User_01_Register - Step 04: Enter to Lastname Textbox
[INFO ] [2021-07-09 13:20:46,456] User_01_Register - Step 05: Enter to Email TextboxMessi98008@barca.com
[INFO ] [2021-07-09 13:20:46,568] User_01_Register - Step 06: Enter to Password
[INFO ] [2021-07-09 13:20:46,667] User_01_Register - Step 07: Enter to Confirm password
[INFO ] [2021-07-09 13:20:46,793] User_01_Register - Step 08: Click to Register Button
[INFO ] [2021-07-09 13:20:49,303] User_01_Register - Step 09: Verify Success Message Displayed
[INFO ] [2021-07-09 13:20:49,392] User_01_Register - Step 10: Click to Logout Link
[INFO ] [2021-07-09 13:20:50,364] User_02_Login - Step 01: Click to Login Link
[INFO ] [2021-07-09 13:20:51,763] User_02_Login - Step 02: Enter to Email textbox
[INFO ] [2021-07-09 13:20:51,872] User_02_Login - Step 03: Enter to Password
[INFO ] [2021-07-09 13:20:51,992] User_02_Login - Step 04: Click to Login button
[INFO ] [2021-07-09 13:20:53,876] User_02_Login - Step 05: Verify Myaccount Link displayed
[INFO ] [2021-07-09 13:20:53,979] Post-condition - Step 01: Close browser/driver
[INFO ] [2021-07-09 13:21:16,094] Pre-condition - Step 1: Open Browser: firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-07-09 13:21:26,536] User_01_Register - Step 01: Mo trang Homepage
[INFO ] [2021-07-09 13:21:26,541] User_01_Register - Step 02: Click to Register Link
[INFO ] [2021-07-09 13:21:28,932] User_01_Register - Step 03: Enter to first Textbox
[INFO ] [2021-07-09 13:21:29,120] User_01_Register - Step 04: Enter to Lastname Textbox
[INFO ] [2021-07-09 13:21:29,243] User_01_Register - Step 05: Enter to Email TextboxMessi82420@barca.com
[INFO ] [2021-07-09 13:21:29,442] User_01_Register - Step 06: Enter to Password
[INFO ] [2021-07-09 13:21:29,564] User_01_Register - Step 07: Enter to Confirm password
[INFO ] [2021-07-09 13:21:29,686] User_01_Register - Step 08: Click to Register Button
